nicht	['0.240073','0.335871','-0.050336','-0.042978','0.095952','0.185502', '-0.406411','0.347124','0.164836','-0.525106','0.323051','0.384902', '0.392634','-0.164565','0.241215','-0.585615','-0.622406','-0.054681', '0.237020','0.227401','-0.294399','-0.132434','-0.496613','0.765921', '0.693323','0.080533','-0.089112','0.211751','0.372234','0.473605', '0.324208','-0.604473','-0.407619','-0.194091','-0.243866','-0.295113', '-0.066908','0.328651','0.129007','0.197952','-0.307944','0.093489', '-0.058024','0.145069','-0.447322','-0.037020','-0.529201','0.067996', '0.205729','-0.518544','-0.106904','0.310750']
auf	['0.063921','0.074072','-0.009326','0.431099','0.229263','0.093856', '-0.548847','0.202139','0.325315','-0.249126','0.140686','0.265255', '0.421421','-0.190253','0.071432','-0.259785','-0.504756','-0.109110', '0.414870','-0.175906','-0.309455','-0.059314','-0.522840','0.709839', '0.558527','0.155742','-0.409975','-0.009276','0.350491','0.517228', '0.179189','-0.363081','-0.236583','-0.079188','-0.246398','-0.429793', '-0.174924','0.376828','0.096578','0.353335','-0.194418','0.297259', '-0.056364','-0.318405','-0.319724','-0.326855','-0.551932','0.283134', '0.226018','-0.017987','-0.079706','0.336319']
es	['0.113898','0.254879','-0.025188','-0.113399','0.228317','0.104083', '-0.345292','0.279348','0.396618','-0.249722','0.518060','0.364680', '0.328733','0.095936','0.110361','-0.251942','-0.533802','-0.047026', '-0.002159','-0.077812','-0.153108','-0.077384','-0.286311','0.615578', '0.644770','0.087603','-0.236944','0.393441','0.388373','0.349945', '0.199135','-0.546327','-0.344896','-0.098568','-0.205757','-0.177177', '-0.140316','0.453478','-0.054408','0.176723','-0.157437','-0.033010', '-0.097828','0.051876','-0.266610','0.193521','-0.454974','0.055303', '0.074664','-0.477902','-0.166492','0.064671']
von	['-0.053068','-0.040772','0.008131','0.263761','0.079125','0.410199', '-0.625342','0.143551','0.041427','-0.308495','-0.027617','0.241206', '0.168832','-0.153188','0.227162','-0.249029','-0.455460','-0.033207', '0.356775','-0.392401','-0.271922','-0.041839','-0.268006','0.636445', '0.452543','0.217854','-0.204316','-0.096387','0.435748','0.319516', '-0.012009','-0.468219','-0.160289','0.009621','-0.264973','-0.365024', '-0.100961','0.614411','0.243434','0.291867','-0.065017','0.276638', '-0.238180','-0.339956','-0.296495','-0.171886','-0.480424','0.246185', '0.035045','-0.170643','-0.133562','0.308060']
zu	['0.023828','0.159047','0.021334','0.106539','0.206372','0.256583', '-0.536035','0.435245','0.088568','-0.376356','0.178945','0.443341', '0.289391','-0.174983','0.103789','-0.450861','-0.532098','-0.101108', '0.325087','-0.146127','-0.409039','-0.077163','-0.565660','0.778708', '0.503314','0.235926','-0.230089','0.139641','0.300639','0.512375', '0.241803','-0.493964','-0.371601','-0.106851','-0.392226','-0.416775', '-0.029159','0.296783','-0.007940','0.368217','-0.176765','0.116003', '-0.107174','-0.154282','-0.498072','-0.027973','-0.457595','0.124963', '0.024727','-0.463355','-0.067269','0.412454']
am	['-0.284459','0.327259','-0.113126','-0.133954','-0.075257','0.195441', '-0.275364','0.227851','0.312938','-0.010570','0.162954','0.296324', '-0.093805','0.133318','-0.229402','-0.222947','-0.466029','-0.105655', '-0.119430','-0.133228','-0.003668','-0.088045','0.139400','0.492849', '0.362242','0.129976','-0.233243','-0.069845','-0.021799','0.493992', '0.116837','-0.649832','0.264578','-0.163442','-0.213003','-0.334736', '0.072106','0.130434','0.039242','0.187363','0.001057','0.099237', '-0.012358','-0.377210','0.176736','-0.259512','-0.493303','0.299963', '0.003182','-0.018612','-0.150007','0.113944']
den	['0.140803','0.276484','-0.006204','0.207772','0.168960','0.195675', '-0.372866','0.316168','0.340518','-0.290588','0.279040','0.304437', '0.244547','-0.057205','0.182190','-0.214592','-0.460209','-0.035895', '0.256502','-0.132469','-0.231427','-0.058087','-0.349061','0.560896', '0.392299','0.152358','-0.121024','0.061162','0.248546','0.489214', '0.299551','-0.520842','-0.051385','0.026711','-0.192404','-0.480552', '0.027741','0.284926','0.221985','0.405036','-0.179573','0.200533', '-0.145895','-0.220339','-0.455386','-0.126775','-0.510903','0.239762', '0.114287','-0.120113','0.000442','0.285851']
auch	['0.244429','0.419930','-0.032769','0.045386','0.149300','0.086635', '-0.566335','0.286429','0.152552','-0.387979','0.304109','0.306108', '0.454597','-0.031201','0.154647','-0.451357','-0.652379','-0.186565', '0.161249','0.166315','-0.234906','-0.148401','-0.518206','0.653207', '0.655675','0.068591','-0.071813','0.114244','0.377823','0.467212', '0.256486','-0.562320','-0.351644','-0.057250','-0.310794','-0.227743', '-0.182021','0.338968','0.016369','0.171347','-0.309009','0.173580', '-0.033594','0.017384','-0.515235','-0.028374','-0.485962','0.110647', '0.292201','-0.369018','-0.172787','0.276017']
was	['0.374455','0.380351','-0.134487','-0.088025','0.055665','0.161676', '-0.334414','0.184134','0.348832','-0.334486','0.208640','0.501765', '0.215176','0.073139','0.063553','-0.491488','-0.602826','-0.182042', '0.007473','0.220470','-0.043180','-0.032327','0.053918','0.552565', '0.435715','0.048604','-0.149319','-0.040743','0.269362','0.353933', '0.230923','-0.452485','-0.350284','-0.133466','-0.224289','-0.168533', '0.178737','0.285507','-0.000382','0.330710','-0.159545','-0.133179', '-0.245514','0.000811','-0.200513','-0.101853','-0.473312','0.146111', '0.048728','-0.270344','-0.138796','0.116096']
wie	['0.418005','0.212426','-0.115966','0.097341','-0.084866','0.215167', '-0.450726','0.480435','0.276090','-0.349112','0.293090','0.109759', '0.274312','-0.259401','0.258507','-0.609134','-0.527647','-0.118070', '0.069882','-0.063855','-0.133930','-0.171844','-0.236306','0.569668', '0.580699','0.225214','-0.152291','0.250927','0.373104','0.277002', '0.472272','-0.469392','-0.441289','0.062028','-0.141584','-0.257349', '0.096271','0.349431','0.042988','0.153962','-0.306847','-0.125064', '-0.218916','0.023316','-0.321364','-0.272864','-0.333458','0.078125', '0.082875','-0.331829','-0.127083','0.104201']
